contact,name,township,street,state,Category
 095133418,Naing Tun [Ko],South Dagon,"1469, Latha 2nd St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 095142564, 095067194",Myint Moh,Shwe Pyi Thar,"195, Kanaung 6th St., Industrial Zone 1,",Yangon Region,Equipment & Supplies
" 01641205, 095143499",Myat Kyaw,Insein,"7/A, Phan Chet Set St., Ywar Ma (West) Ward,",Yangon Region,Equipment & Supplies
" 09254070237, 095016803, 01594275",Mingalar Thukha,South Dagon,"116, Pan Laung St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 0973063824, 0949249992, 019695314, 0943202644",Mya Zaw [U],North Okkalapa ,"186/187, Kanaung 6th St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 01591249, 01707040, 09795374906",Mingalar Hnin Si,South Dagon,"1080~3, Shwe Taung Gyar 5th St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
 09970279143,Moe Pearl,Hlaing,"648, Thiri Myaing St., Corner of Nilar St.,Ward (13),",Yangon Region,Equipment & Supplies
" 09791116634, 09420103893",Min Wai,South Dagon,"1618, Shwe Li St., Industrial Zone(2),",Yangon Region,Equipment & Supplies
" 01594334, 0973154368",Money [U],South Dagon,"784, Than Lwin St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01618093, 01618298, 01618540, 01618541, 095171819","Sann Yee Interprise Co.,Ltd.",Shwe Pyi Thar,"46/64, Mya Taung Wun Gyi U Hmo St., Industrial Zone (3),",Yangon Region,Equipment & Supplies
" 0973251904, 095188019",Sann Naing Oo [Ko],South Dagon,"1186, Sittaung St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01695351, 095155096, 01699308 [Res]",Sein Mahar,North Okkalapa ,"295/296, Kanaung 4th St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 0973104600, 09251116669",Sandar Oo,South Dagon,"550, Inlay St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 019695351, 019699308, 09258201099",Sein Mahar,North Okkalapa ,"828, Thudhamar Rd., Ta Ta Lin Cheik Ward,",Yangon Region,Equipment & Supplies
" 01591234, 09250013518",Pwint,South Dagon,"742/743, Ayeyar Waddy St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 0931580893, 01695001",Pyit Tine Htaung,North Okkalapa ,"38, Kanaung 11st St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 01685327, 01685960, 095009293","Pyan Hlwar Mfg Co.,Ltd.",Hlaing Thar Yar,"177~179, Seikkanthar St., Industrial Zone (4),",Yangon Region,Equipment & Supplies
" 095134360, 095073603",Novel Win,Thingangyun,"13, Aung Tagon St., Corner of Saga Wah St.,(Ka) Ward,",Yangon Region,Equipment & Supplies
" 01618279, 01618280, 01618353, 01618095, 01703193","New Century Paper Industry [New Way Co.,Ltd.]",Shwe Pyi Thar,"49, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (3),",Yangon Region,Equipment & Supplies
" 01594334, 0973154368, 09420153123",Shwe Yangon,South Dagon,"784/801, Pan Chan St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
 095115176,Su Waddy,South Dagon,"2808/2809/2815, Shwe Li St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
 0973074362,Shwe Pyan Hlwar,South Dagon,"1130, Chin Dwin St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01695167, 095007837",Super King,North Okkalapa ,"224, Makhayar Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
 01547414,Shwe Kainnari [SKN],Thaketa,"3, Yan Naing Swe 2nd St., Industrial Zone,",Yangon Region,Equipment & Supplies
" 09425013049, 09425013864",Shwe Byar La,South Dagon,"1104~1106, Shwe Taung Gyar Lane., Industrial Zone(2),",Yangon Region,Equipment & Supplies
" 095132897, 01535501, 01705665",Sein Nyunt [U],Hlaing,"120, Dhama Thukha Kyaung St., Ward (13),",Yangon Region,Equipment & Supplies
" 095132407, 09799140322",Shwe Ngwe Tun,South Dagon,"881, Chaung Thar 2nd St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01590510, 01591105",Shwe Wutt Yee,South Dagon,"268/277, Yauk Kaw St., Industrial Zone (1),",Yangon Region,Equipment & Supplies
 0973004231,Zin Yaw Gyi,South Dagon,"1132, Chin Dwin St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
 09799140322,Shwe Ngwe Tun,South Dagon,"622, Inlay 2nd St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01253083, 095138059, 0973206820",WS [Win Shwe],South Dagon,"933, Shwe Taung Gyar St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 095171827, 01374293, 01376847",Win Naing [U],South Dagon,"204, Inntaw St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
 01591256,Thapyay,South Dagon,"1397,Latha St.,Industrial Zone (2)",Yangon Region,Equipment & Supplies
" 095118063, 01516398",Thidar,Hlaing,"69, Thiri Myaing St., Ward (13),",Yangon Region,Equipment & Supplies
" 01591284, 095131827",Thamada [U Zaw Lay],South Dagon,"1071/1072, Shwe Taung Gyar 6th St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 0943020711, 095015263, 01590551, 01594419",Taw Win Paper Mill,South Dagon,"1476/1477, Set Hmu Zone Pat St., Industrial Zone(2),",Yangon Region,Equipment & Supplies
" 095073603, 095134360",Win Tin Shwe [U],South Dagon,"506, Shwe Li St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 019695257, 019696017",Yadanar Win,North Okkalapa ,"216/219, Makhayar Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 095130923, 01296463, 0973015596, 095015452",Bote Bote,Botahtaung,"38, 44th St., Lower Block,",Yangon Region,Food
,"Mercury Distribution Co.,Ltd.",Hlaing Thar Yar,"C/26,Padauk Wah 7th St.,FMI City",Yangon Region,Food
" 01211911 Ext.386/532, 0973039526",Wai Yan Tun,Lanmadaw,"Rm G/148, G Flr, Nyaung Pin Lay Plaza,",Yangon Region,Equipment & Supplies
" 01685125, 01685304, 01685695, 095111793, 01685696","First Top Group Co.,Ltd.",Hlaing Thar Yar,"50/51, Myawaddy Min Gyi Rd., Industrial Zone (4),",Yangon Region,Equipment & Supplies
" 0973199558, 012348517, 09250274896",Newstar Packaging,South Dagon,"436/437, Pathein St., Industrial Zone(1),",Yangon Region,Equipment & Supplies
" 095026394, 01538693, 0949273722, 0973035232",Aung Than [U] + Tin Yee [Daw],Hlaing,"66, Sabei Chan 2nd St., Ward (11),",Yangon Region,Equipment & Supplies
" 0973254233, 01570758, 01544832, 0973141939",New Link Marketing Ltd.,Yankin,"4, Yadanar St., Ward (14),",Yangon Region,Cosmetic
" 09788088061, 09788088062",Nine Two Nine & Uniform Service,Tarmwe,"19, Than Thu Mar Rd., Myanma Gonyaung Housing,",Yangon Region,Apparel
" 095180009, 09796316911",Htwin,Latha,"122, 1st Flr, 21st St.,",Yangon Region,Apparel
" 09262944040, 09262944030, 0973229694","Best Guilding Star Co., Ltd.",Mayangone,"115 / 116, Dana Theiddi St.,",Yangon Region,Apparel
" 095090084, 09799671584",Designer Khin Khin (Wint War),Sanchaung,"81, Rm B-7, Kyun Taw Rd., Corner of Nga Pyaw Taw St.,",Yangon Region,Apparel
" 095123605, 0973025708",Ma Khaing,Hlaing,"53 / B, Pagoda St., Ward (16),",Yangon Region,Apparel
" 01250065, 01382234",Eastern Rose Fashion House,Kyauktada,"251, 3rd Flr, Bo Aung Kyaw St.,  Upper Middle Block,  Ward (9),",Yangon Region,Apparel
" 09421128026, 09799969851, 0979996985",Shwe Min Thamee,Hlaing Thar Yar,"461/kha, Min Boo St., Ward (9),",Yangon Region,Apparel
,Cherry Pwint,Kamayut,"29/A, Khaing Shwe Wah St., Ward (1),",Yangon Region,Apparel
" 09250290012, 09960709571",Amara,Tarmwe,"62, G Flr, 141st St., Ponnar Gone Ward,",Yangon Region,Apparel
,Affection,Sanchaung,"52, G Flr, Ma U Pin St.,",Yangon Region,Apparel
,Ei Thawdar,Mingalar Taung Nyunt,"D-12/14,  Yuzana Plaza,",Yangon Region,Apparel
" 09421075279, 0936119721",Myo Pearl,Kamayut,"Rm 8, Bldg 1, 1st Flr, Pyi Yeik Mon Housing, Ward (8),",Yangon Region,Apparel
" 01502880, 095078235",MMM,Hlaing,"23/A, Rm 3 (A.B), Ward (7),",Yangon Region,Apparel
,May Phyo,Kamayut,"12/B, Htan Ta Pin (West)St., Ward (3),",Yangon Region,Apparel
" 09421012799, 0931135055",Ma Moe,Kamayut,"5, Rm A, Hledan 6th St., Near Hledan Market,  Ward (3),",Yangon Region,Apparel
" 09797478652, 09402636917",Kabar Kyaw,Chan Aye Thar Zan,"62 St., Between 30 St. and 31 St.,",Mandalay Region,Apparel
 09422445176,Khit Sunn,Tarmwe,"31, Kyauk Yae Twin St., Kyauk Myaung (East) Ward,",Yangon Region,Apparel
" 018560334, 018564674, 095199907",Myat Nan Theingi,Thingangyun,"Rm 6/7, Bldg A,  Yadanar Mon Housing,  Yadanar Rd & Waizayandar Rd, 16/2 Ward,",Yangon Region,Apparel
 09250152556,Excellent,Hlaing,"Hlaing Myint 2nd St., Infront Of Shwe Nyaung Pin Pagoda,  Butar Yone St, Ward (1),",Yangon Region,Apparel
,Ma Ei Thu,North Dagon,"1214, Pin Lon Rd.,",Yangon Region,Apparel
" 09428184581, 09795833779",Ma Li Kha,Thaketa,"24, Yan Pyay 19th St., Ward (3),",Yangon Region,Apparel
" 09253774263, 0943081546",Tatee,Tarmwe,"602 / D, Aung Mingalar St., Kyauk Myaung Ward,",Yangon Region,Apparel
" 095060082, 09965060082, 09799244009",TAC Fashion,Tarmwe,"21, 1st Flr, Byine Yae Oh Zin St.,",Yangon Region,Apparel
" 09452979516, 09421130101",Start,Tarmwe,"843, Thamadi St.,",Yangon Region,Apparel
,Sint Pwar,Bahan,"17, Bo Sein Hman St., Bo Sein Hman Ward,",Yangon Region,Apparel
" 0272516, 092132758",Olympus,Chan Aye Thar Zan,"C-2/3, 32 St., Between 77 St. and 78 St.,",Mandalay Region,Apparel
,Sann,South Okkalapa ,"7, Byamaso Rd.,   Nanda Wun Zyae,(4/6),",Yangon Region,Apparel
 09250651643,OA,Kamayut,"6, Htan Ta Pin (West)St., Ward (3),",Yangon Region,Apparel
,Pwint,Tarmwe,"39, G Flr, 155th St.,",Yangon Region,Apparel
" 09420067594, 09256050024",Nyo Me Hlaing,East Dagon,"15/A, Mahaw Thadar St., Ward (12),",Yangon Region,Apparel
 095125343,Nagar Pyan,North Okkalapa ,"10/11, Bldg 1, Khay Mar Thi Rd.,  Construction Compound,",Yangon Region,Apparel
" 0943130908, 01593391",U Win Naing,Dagon Seikkan,"Rm 002, Bldg 28, Yadanar St., Sittaung Yeik Mon Housing,",Yangon Region,Apparel
" 09793615161, 09973808061",99,Tarmwe,"201/203,Banyar Dala Rd.,Ma U Gone Ward",Yangon Region,Apparel
" 09250475396, 0973157929, 095150137",A & T,Pazundaung,"49, Late Kan St.,",Yangon Region,Apparel
" 0931071823, 01646864",A & C,Insein,"4/A, Hyde Park 2nd St., Taung Thu Gone Ward,",Yangon Region,Apparel
" 09420126553, 09260441281, 0930324862",9 Two 9,Mingalar Taung Nyunt,"33, G Flr, 101th St., Phoh Myay Ward,",Yangon Region,Apparel
" 0931124369, 09425351401",7 Colour,North Okkalapa ,"372, Mya Yadanar St., Corner of Mya Yadanar 3rd St.,Kha Ward,",Yangon Region,Apparel
" 0973212074, 09262689055",Aerial,Sanchaung,"Rm 57/58, 1st Flr, Myay Ni Gone Plaza,",Yangon Region,Apparel
" 01667094, 09976204909",Active,Mayangone,"148/43, A One Lane., Ward (5),",Yangon Region,Apparel
" 0943073915, 09420234177",Adin Thu,Insein,"463, Shwe Kyee St., Sint Ngu Ward,",Yangon Region,Apparel
" 0931262843, 09799604236",Academy,Dagon Seikkan,"Bldg 22, Rm 001, G Flr, 7th St., Yuzana Garden City Housing, B Block,",Yangon Region,Apparel
 09782713479,A One,Mayangone,"Ayeyar St., Corner of U Chit Tun St.,Ward (2),",Yangon Region,Apparel
" 0931669144, 09795848207",Academy,Pabedan,"2 Storey Shed, Rm 18, Bogyoke Aung San Market,",Yangon Region,Apparel
 0930275910,A 1,Shwe Pyi Thar,"11, Bayint Naung Rd., Ward (7),",Yangon Region,Apparel
 09250588100,Academy,Hlaing Thar Yar,"1966, Kyan Sit Thar St., Ward (23),",Yangon Region,Apparel
" 01246682, 095164352, 0973001766",Acmee,Kyauktada,"76, 2nd Flr, Anawrahta Rd.,",Yangon Region,Apparel
" 095009619, 09795009619",Ahlinkar May,South Okkalapa ,"1072/A, Yathawaddy St., Ward (13),",Yangon Region,Apparel
 09420255793,Ah Thae,South Okkalapa ,"184, Mya Lay St., Ward (14/1),",Yangon Region,Apparel
 09420048533,Ah Kyi,Insein,"J/27, Mingalar St., Phawh Kan Ward,",Yangon Region,Apparel
" 0931915300, 0973241959",Ah Hmwar,North Dagon,"368, Maha Bandoola Rd., Ward (38),",Yangon Region,Apparel
 0931078381,Academy,Mingalardon,"15, Myo Patt St., Mingalardon Zay Ward,",Yangon Region,Apparel
 0973169529,Ah Kyaik Sone,Hlaing Thar Yar,"227/A, Tay Oo Yin 3rd St., Ward (7),",Yangon Region,Apparel
 09421070528,Ah Hla Kabar,South Okkalapa ,"189, Mya Lay St., Ward (14/1),",Yangon Region,Apparel
" 09420194855, 0973010281, 09264851515",Ah Hla Kabar,East Dagon,"1, Rm 2, Tapin Shwe Htee St., Corner of Bo Min Khaung St.,Ward (12),",Yangon Region,Apparel
 09261447865,Ahli,Tarmwe,"183, Banyar Dala Rd., Ma U Gone Ward,",Yangon Region,Apparel
" 0943192864, 09799684066",Affection,Sanchaung,"52, Ma U Pin St., Kyun Taw (South) Ward,",Yangon Region,Apparel
" 0973122157, 0973194149",Ah Shae Tine,Mingalar Taung Nyunt,"70, 1st Flr, 101th St., Phoh Myay Ward,",Yangon Region,Apparel
 09263027595,Akari San,Hlaing Thar Yar,"Phoe Yarzar St., Ward (7),",Yangon Region,Apparel
 09975603302,Akari San,South Dagon,"11,Myeik St.,Ward (21)",Yangon Region,Apparel
 09261728125,Akari Kyaw,Hlaing Thar Yar,"884, Taung Ngu St., Ward (19),",Yangon Region,Apparel
" 095182662, 0943042626",Akari,Yankin,"Bldg 213, Rm 2, Yankin Rd., Ward (4),",Yangon Region,Apparel
 09252307828,Akari,Dawbon,"497, Marlar Nwe St., Corner of Min Nandar Rd.,Bamar Aye Ward,",Yangon Region,Apparel
 09788618298,Akari Moe,Hlaing Thar Yar,"82/A, Bago St., Ward (11),",Yangon Region,Apparel
 09420242859,Akari Aung,South Dagon,"181,Bagan St.,Ward (55)",Yangon Region,Apparel
 09976678136,Akari,Dagon Seikkan,"11th St., Yuzana Garden City Housing, B Block,",Yangon Region,Apparel
" 09421102587, 09972345782",Akari San,North Okkalapa ,"443, May Darwi Rd., Near Northern Okkalapa Hospital, Ga Gyi Ward,",Yangon Region,Apparel
 09420183270,Ame Han,Hlaing Thar Yar,"387, U Pu Nya St., Ward (7),",Yangon Region,Apparel
" 09250501225, 095029155",Amuse,East Dagon,"147/A, Nga Htwai Yue St., Ward (8),",Yangon Region,Apparel
" 09252899314, 09793592489",Akari Aung,Insein,"1608, Wah Oo Kyaung St., Phawh Kan Ward,",Yangon Region,Apparel
" 09250290012, 0973119855",Amara,Tarmwe,"45/B, Aung Tayza St., Byine Kwet Thit Ward,",Yangon Region,Apparel
" 01209426, 095046747",Angel,Tarmwe,"36/A, G Flr, Baya Thoddi St., Kyarr Kwet Thit Ward,",Yangon Region,Apparel
" 01504362, 01536844, 0973008765",Annawah,Kamayut,"Bldg 16, Rm 005, Yuzana St., Hanthar Yeik Mon Housing,",Yangon Region,Apparel
" 0931802877, 09250371603",Amazing,Mingalar Taung Nyunt,"20, 1st Flr, 96th St., Loot Latt Yay Ward,",Yangon Region,Apparel
 098617393,AM Collection,Latha,"120, 4th Flr, Bo Ywe St., Upper Block,",Yangon Region,Apparel
" 09257212100, 0943089261",Amara,North Dagon,"1190,Pin Lon Rd.,Ward (35)",Yangon Region,Apparel
 0931947543,Akarit,Mayangone,"882, Thamaing Butar Yon 2nd St., Ward (1),",Yangon Region,Apparel
 09250817930,Aung,Hlaing Thar Yar,"61/B, Nay Kyar St., Ward (15),",Yangon Region,Apparel
 0973150799,Amara,Mayangone,"21,Min Dhama Rd.,Shwe Kabar Housing",Yangon Region,Apparel
" 095067232, 09965067232",Aster,East Dagon,"Padauk Myaing St., University Avenue Compound,",Yangon Region,Apparel
,Aung,Shwe Pyi Thar,"38,Than Lwin St.,Ward (6)",Yangon Region,Apparel
" 09250260269, 09254504585",Ar Kar Tha,Hlaing Thar Yar,"742/B, Shwe Yin Aye Zay St., Ward (18),",Yangon Region,Apparel
 09250370107,Aung,Mayangone,"7, Baho Rd., Corner of Thamaing Butar Yon Rd.,Ward (2),",Yangon Region,Apparel
 0973080915,Aung,Mingalardon,"32, Thuzana St., Htauk Kyant (Dutiya) San Pya Ward,",Yangon Region,Apparel
 095012030,April Classic & Elegant Fashion,Yankin,"19, Tapin Shwe Htee St., Ward (14),",Yangon Region,Apparel
" 09422205414, 0973007040",Arrow [5],Mingalardon,"Rm 19, 15th St., Mingalardon Zay Ward,",Yangon Region,Apparel
" 09420276873, 09254212793",April Wine,Kyauktada,"146, 40th St., Lower Middle Block,",Yangon Region,Apparel
" 09791666377, 09254488669, 09790198351",Apex,North Okkalapa ,"908, Yarza Dirit St., Shwe Paukkan Ward (14),",Yangon Region,Apparel
" 09250165958, 09421035733, 09785387640",Aung Myittar,Hlaing Thar Yar,"Bldg 11, Rm 004, Ngu War St., Kyan Sit Thar Housing,",Yangon Region,Apparel
 09979640254,Aung Myat Kyaw [U],Yankin,"1, Padauk Myaing St., Near Kanbei Butar, Ward (9),",Yangon Region,Apparel
 09777883050,Aung Myint Kyi [Ko],Dagon Seikkan,"Bldg 7, Rm 001, 17th St, Yuzana Garden City Housing, A Block,",Yangon Region,Apparel
 095412493,Aung Khaing [Ko],Dagon Seikkan,"Bldg 2, Rm 001, 11th St., Yuzana Garden City Housing, B Block,",Yangon Region,Apparel
 09422488929,Aung Myin,Sanchaung,"1st Flr, Myay Ni Gone Plaza,",Yangon Region,Apparel
" 09450017219, 09252591322, 095195976",Aung Moe [Ko],North Okkalapa ,"694, Bonmar 3rd St., Za Myin Zwel Ward,",Yangon Region,Apparel
 0973233431,Aung Min [Ko],Thingangyun,"Zar Wai Yar St., (Nga/Ka) Ward,",Yangon Region,Apparel
 09452429096,Aung,North Dagon,"Rm C/16, Mahar Myaing Zay St., Mahar Myaing Housing,",Yangon Region,Apparel
" 09420189895, 09421061844, 09250076467",Aung Aung,Dawbon,"56/B, Thin Baw Kyin 7th St.,",Yangon Region,Apparel
 0931052544,Aung,Thingangyun,"33, Lay Daunt Kan Rd., (Sa-Lein/Ka) Ward,",Yangon Region,Apparel
 09784398659,Aung Win [U],Dagon Seikkan,"416/A, Dawna St., Ward (88),",Yangon Region,Apparel
 09250964754,Aung Su Pan,Hlaing Thar Yar,"1067, Kanbawza St., Ward (16),",Yangon Region,Apparel
" 09420217316, 0932125205",Aung Thiri,Sanchaung,"Rm A/50/52, G Flr, Myay Ni Gone Plaza,",Yangon Region,Apparel
" 09254380906, 0973228493",Aung Thidar,North Dagon,"15,Maha Bandoola Rd.,Ward (29)",Yangon Region,Apparel
 0931047478,Aung Phyu [Daw],North Okkalapa ,"111, Shwe Phone Pwint Pagoda St., Kyauk Yae Dwin Ward,",Yangon Region,Apparel
 09250330582,Aung Yadanar,Insein,"179, Bayint Naung Rd., Corner of Ka 3th St.,Myo Thit (Ka/Kha) Ward,",Yangon Region,Apparel
" 09421082503, 0973117503, 09972336631",Aung Naing Oo [Ko],Insein,"1101, Ywar Lel St., Kyaung Kone (1), Aung San Ward,",Yangon Region,Apparel
" 09425014182, 09790140081",Aung Myo Tun,North Okkalapa ,"5, Khay Mar Kyaung St., Hta Wun Bae Ward,",Yangon Region,Apparel
 0949259549,Aung Pann,Mingalardon,"Rm 3, Kyauk Sein St., Near Padamyar Market, Padamyar Myoe Thit,",Yangon Region,Apparel
" 0932162927, 09799513301",Aung Nge [Ko],North Okkalapa ,"198, Wai Pon La 5th St., Ga Gyi Ward,",Yangon Region,Apparel
" 0973173748, 09420066481",Aye,Pabedan,"282, 1st Flr, Shwe Bon Tha St., Upper Middle Block,",Yangon Region,Apparel
" 01516235, 0973148862",Aye Aye Hlaing [Ma],Hlaing,"33, Shan Su 1st St., Ward (10),",Yangon Region,Apparel
 09250022959,Aye,Kamayut,"5, Rm B/1, 1st Flr, Baho Rd., Ward (3),",Yangon Region,Apparel
 095411069,Aye Aye Aung [Ma],Shwe Pyi Thar,"Sabei St., Ward (2),",Yangon Region,Apparel
 09428018471,Aye,South Okkalapa ,"210, Mya Lay St., Ward (14/1),",Yangon Region,Apparel
" 09420018979, 09975784730",Aung [Family],Shwe Pyi Thar,"1202, Maha Bandoola St., Ward (15),",Yangon Region,Apparel
,Awarat,North Okkalapa ,"Rm 3, Oak Zanar St., Co-op Shop Room, Za Gwel Ward,",Yangon Region,Apparel
" 09420182336, 09253721429",Aung Zabu Tun,Hlaing Thar Yar,"385, P Moe Ninn St., Ward (1),",Yangon Region,Apparel
" 0932135507, 09423729603",Aung Zaw Lin [U],Shwe Pyi Thar,"Maha Myaing St.,Co-op Shop Room,Ward (9)",Yangon Region,Apparel
 09421006464,Aung Zaw [U],Shwe Pyi Thar,"572, Htwar Paing St., Ward (11),",Yangon Region,Apparel
" 09420058925, 0973223631",Aye Kyawt [Ma],Hlaing Thar Yar,"1/B, Bo Aung Kyaw St., Ward (16),",Yangon Region,Apparel
" 09796018922, 09972744495",Aye Kabar,Hlaing Thar Yar,"949,Aung San Thuriya St.,Ward (18)",Yangon Region,Apparel
 09421180816,Aye Chan San,East Dagon,"834, Pin Ya St., Ward (6),",Yangon Region,Apparel
" 09421752499, 0949879421",Aye Aye Than [Daw],North Dagon,"542, Ta Pin Shwe Htee Rd., Ward (38),",Yangon Region,Apparel
 0973253507,Aye Aye Khaing [Ma],South Dagon,"961,Maung Makan Kan Thar Rd.,Ward (19)",Yangon Region,Apparel
" 01695611, 09262556708, 09250136015",Aye Aye Moe [Daw],North Okkalapa ,"22, Bagan Rd., Shwe Paukkan Ward (21),",Yangon Region,Apparel
 01210649,Aye Chan,Lanmadaw,"21/11, Phoe Yarzar St.,",Yangon Region,Apparel
" 09250806558, 095419390",Aye Kabar Mon,South Dagon,"829/A, Mya Yi Nandar St., Ward (19),",Yangon Region,Apparel
 09421745275,Aye Su Su Aung,Thaketa,"45, Anawmar St., Corner of Anawmar 2nd St.,Ah Naw Mar Ward (1),",Yangon Region,Apparel
 09799827836,Aye Thandar,Insein,"169, Thiri Mingalar Rd., Ywar Ma (East) Ward,",Yangon Region,Apparel
 09420244796,Aye Myittar,South Dagon,"Ngwe Kyar Yan St., Corner of Bagan St.,Ward (53),",Yangon Region,Apparel
 09420034748,Aye Aye Khaing [Ma],Mingalar Taung Nyunt,"60, 1st Flr, 124th St., Tha Pyay Gone Ward,",Yangon Region,Apparel
" 09250061436, 098636984",Aye Tar Yar,Pabedan,"East B Shed, Rm 509, Bogyoke Aung San Market,",Yangon Region,Apparel
" 09421065965, 09420145298",Aye Sandar,Mayangone,"213, Aung Khay Mar St., Ward (2),",Yangon Region,Apparel
